27 Feb 15:11:57|pUtil.py    | Pilot cleanup has finished
27 Feb 15:12:07|pUtil.py    | Done, using system exit to quit
27 Feb 15:32:09|pUtil.py    | Pilot cleanup has finished
27 Feb 15:32:19|pUtil.py    | Done, using system exit to quit
27 Feb 15:36:01|pUtil.py    | Pilot cleanup has finished
27 Feb 15:36:11|pUtil.py    | Done, using system exit to quit
27 Feb 15:41:23|pUtil.py    | Pilot cleanup has finished
27 Feb 15:41:33|pUtil.py    | Done, using system exit to quit
27 Feb 16:13:06|pUtil.py    | Pilot cleanup has finished
27 Feb 16:13:16|pUtil.py    | Done, using system exit to quit
28 Feb 12:28:16|pUtil.py    | Pilot cleanup has finished
28 Feb 12:28:26|pUtil.py    | Done, using system exit to quit
08 Mar 09:47:38|pUtil.py    | Pilot cleanup has finished
08 Mar 09:47:48|pUtil.py    | Done, using system exit to quit
08 Mar 10:37:26|pUtil.py    | Pilot cleanup has finished
08 Mar 10:37:36|pUtil.py    | Done, using system exit to quit
08 Mar 16:08:11|pUtil.py    | Pilot cleanup has finished
08 Mar 16:08:21|pUtil.py    | Done, using system exit to quit
08 Mar 16:35:10|pUtil.py    | Pilot cleanup has finished
08 Mar 16:35:20|pUtil.py    | Done, using system exit to quit
08 Mar 17:29:52|pUtil.py    | Pilot cleanup has finished
08 Mar 17:30:02|pUtil.py    | Done, using system exit to quit
08 Mar 17:34:32|pUtil.py    | Pilot cleanup has finished
08 Mar 17:34:42|pUtil.py    | Done, using system exit to quit
08 Mar 18:15:48|pUtil.py    | Pilot cleanup has finished
08 Mar 18:15:58|pUtil.py    | Done, using system exit to quit
08 Mar 18:41:39|pUtil.py    | Pilot cleanup has finished
08 Mar 18:41:50|pUtil.py    | Done, using system exit to quit
08 Mar 18:47:30|pUtil.py    | Pilot cleanup has finished
08 Mar 18:47:40|pUtil.py    | Done, using system exit to quit
09 Mar 09:20:05|pUtil.py    | Pilot cleanup has finished
09 Mar 09:20:15|pUtil.py    | Done, using system exit to quit
09 Mar 09:37:48|pUtil.py    | Pilot cleanup has finished
09 Mar 09:37:58|pUtil.py    | Done, using system exit to quit
09 Mar 10:32:02|pUtil.py    | Pilot cleanup has finished
09 Mar 10:32:12|pUtil.py    | Done, using system exit to quit
09 Mar 10:33:51|pUtil.py    | Pilot cleanup has finished
09 Mar 10:34:01|pUtil.py    | Done, using system exit to quit
09 Mar 12:56:01|pUtil.py    | Pilot cleanup has finished
09 Mar 12:56:11|pUtil.py    | Done, using system exit to quit
09 Mar 16:11:54|pUtil.py    | Pilot cleanup has finished
09 Mar 16:12:04|pUtil.py    | Done, using system exit to quit
09 Mar 16:46:11|pUtil.py    | Pilot cleanup has finished
09 Mar 16:46:21|pUtil.py    | Done, using system exit to quit
14 Mar 11:16:59|pUtil.py    | Pilot cleanup has finished
14 Mar 11:17:09|pUtil.py    | Done, using system exit to quit
14 Mar 14:50:28|pUtil.py    | Pilot cleanup has finished
14 Mar 14:50:39|pUtil.py    | Done, using system exit to quit
14 Mar 16:22:12|pUtil.py    | Pilot cleanup has finished
14 Mar 16:22:22|pUtil.py    | Done, using system exit to quit
14 Mar 18:45:13|pUtil.py    | Pilot cleanup has finished
14 Mar 18:45:23|pUtil.py    | Done, using system exit to quit
15 Mar 08:38:19|pUtil.py    | Pilot cleanup has finished
15 Mar 08:38:29|pUtil.py    | Done, using system exit to quit
15 Mar 10:11:52|pUtil.py    | Pilot cleanup has finished
15 Mar 10:12:02|pUtil.py    | Done, using system exit to quit
15 Mar 11:30:25|pUtil.py    | Pilot cleanup has finished
15 Mar 11:30:35|pUtil.py    | Done, using system exit to quit
16 Mar 17:42:03|pUtil.py    | Pilot cleanup has finished
16 Mar 17:42:13|pUtil.py    | Done, using system exit to quit
20 Mar 11:01:03|pUtil.py    | Pilot cleanup has finished
20 Mar 11:01:13|pUtil.py    | Done, using system exit to quit
21 Mar 11:21:53|pUtil.py    | Pilot cleanup has finished
21 Mar 11:22:03|pUtil.py    | Done, using system exit to quit
22 Mar 10:28:10|pUtil.py    | Pilot cleanup has finished
22 Mar 10:28:20|pUtil.py    | Done, using system exit to quit
23 Mar 09:25:05|pUtil.py    | Pilot cleanup has finished
23 Mar 09:25:15|pUtil.py    | Done, using system exit to quit
23 Mar 09:30:48|pUtil.py    | Pilot cleanup has finished
23 Mar 09:30:58|pUtil.py    | Done, using system exit to quit
23 Mar 09:37:26|pUtil.py    | Pilot cleanup has finished
23 Mar 09:37:36|pUtil.py    | Done, using system exit to quit
